unique_id,ds,best_forecast,best_forecast-lo-95,best_forecast-hi-95,best_model
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2022-01-01,233.79052734375,215.83957880918695,251.74147587831305,NBEATS
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2022-01-02,219.3159942626953,181.8015266418457,256.8304618835449,NBEATS
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2022-01-03,169.0218963623047,125.62112350463867,212.42266921997071,NBEATS
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2022-01-04,157.32437133789062,118.33163108825684,196.3171115875244,NBEATS
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2022-01-05,156.67483520507812,114.36179008483887,198.98788032531738,NBEATS
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2022-01-06,155.85279846191406,125.30603981018066,186.39955711364746,NBEATS
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2022-01-07,166.75357055664062,133.05351867675782,200.45362243652343,NBEATS
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2022-01-08,170.8702392578125,141.44170837402345,200.29877014160155,NBEATS
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2022-01-09,181.87254333496094,150.85632705688477,212.8887596130371,NBEATS
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2022-01-10,153.72044372558594,117.69683113098145,189.74405632019042,NBEATS
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2022-01-11,150.5965576171875,126.66067733764649,174.5324378967285,NBEATS
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2022-01-12,149.89132690429688,115.52706108093261,184.25559272766114,NBEATS
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2022-01-13,147.61105346679688,112.56143150329589,182.66067543029786,NBEATS
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2022-01-14,156.68093872070312,131.26598472595214,182.0958927154541,NBEATS
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2022-01-15,159.0622100830078,115.34813499450684,202.7762851715088,NBEATS
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2022-01-16,168.69879150390625,116.52668266296386,220.87090034484862,NBEATS
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2022-01-17,137.42567443847656,97.97856178283692,176.8727870941162,NBEATS
