unique_id,best_model,best_smape,ml_smape,dl_smape,family,model_key,chosen_smape,cv_smape_stat,cv_smape_ml,cv_smape_dl
Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned,0.0839189873840698,0.1141169741651506,0.0628773477552861,dl,dl,0.0628773477552861,0.0839189873840698,0.1141169741651506,0.0628773477552861
Argentina_Kagglazon_Using LLMs to Train More LLMs,Prophet_tuned,0.075858577959982,0.1183688151618686,0.072972832204726,dl,dl,0.072972832204726,0.075858577959982,0.1183688151618686,0.072972832204726
Argentina_Kagglazon_Using LLMs to Win Friends and Influence People,Prophet_tuned,0.0822264887755017,0.1020983107243447,0.0731746600590551,dl,dl,0.0731746600590551,0.0822264887755017,0.1020983107243447,0.0731746600590551
Argentina_Kagglazon_Using LLMs to Win More Kaggle Competitions,Prophet_tuned,0.1120532066759918,0.1076890695224273,0.0681597333052682,dl,dl,0.0681597333052682,0.1120532066759918,0.1076890695224273,0.0681597333052682
Argentina_Kagglazon_Using LLMs to Write Better,Prophet_plain,0.0909720918090331,0.0750038463924015,0.0701341436924773,dl,dl,0.0701341436924773,0.0909720918090331,0.0750038463924015,0.0701341436924773
Argentina_Kaggle Learn_Using LLMs to Improve Your Coding,Prophet_tuned,0.0941027989933865,0.1025577049585359,0.0735909582024834,dl,dl,0.0735909582024834,0.0941027989933865,0.1025577049585359,0.0735909582024834
Argentina_Kaggle Learn_Using LLMs to Train More LLMs,Prophet_tuned,0.0818758838970743,0.1265896553867539,0.0797195775939297,dl,dl,0.0797195775939297,0.0818758838970743,0.1265896553867539,0.0797195775939297
Argentina_Kaggle Learn_Using LLMs to Win Friends and Influence People,Prophet_tuned,0.0971290372989319,0.1167688136014725,0.0723120122017983,dl,dl,0.0723120122017983,0.0971290372989319,0.1167688136014725,0.0723120122017983
Argentina_Kaggle Learn_Using LLMs to Win More Kaggle Competitions,Prophet_tuned,0.1059518273034517,0.1195470832183703,0.0778572883710307,dl,dl,0.0778572883710307,0.1059518273034517,0.1195470832183703,0.0778572883710307
Argentina_Kaggle Learn_Using LLMs to Write Better,Prophet_plain,0.10185862197126,0.1277970647850084,0.0644635124632297,dl,dl,0.0644635124632297,0.10185862197126,0.1277970647850084,0.0644635124632297
Argentina_Kaggle Store_Using LLMs to Improve Your Coding,Prophet_plain,0.1023617179692047,0.0985090790636657,0.0670520840733576,dl,dl,0.0670520840733576,0.1023617179692047,0.0985090790636657,0.0670520840733576
Argentina_Kaggle Store_Using LLMs to Train More LLMs,Prophet_tuned,0.0788130820170306,0.1270967481540236,0.0767864718354944,dl,dl,0.0767864718354944,0.0788130820170306,0.1270967481540236,0.0767864718354944
Argentina_Kaggle Store_Using LLMs to Win Friends and Influence People,Prophet_tuned,0.0926338649729766,0.1138340960488925,0.0813962817849491,dl,dl,0.0813962817849491,0.0926338649729766,0.1138340960488925,0.0813962817849491
Argentina_Kaggle Store_Using LLMs to Win More Kaggle Competitions,Prophet_tuned,0.1018263464907353,0.0774866353463226,0.072453918817699,dl,dl,0.072453918817699,0.1018263464907353,0.0774866353463226,0.072453918817699
Argentina_Kaggle Store_Using LLMs to Write Better,Prophet_plain,0.1010964049551329,0.1093091011648966,0.0622640320702698,dl,dl,0.0622640320702698,0.1010964049551329,0.1093091011648966,0.0622640320702698
Canada_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned,0.029098633010297,0.0428773700279602,0.0249298338303883,dl,dl,0.0249298338303883,0.029098633010297,0.0428773700279602,0.0249298338303883
Canada_Kagglazon_Using LLMs to Train More LLMs,Prophet_plain,0.033420487677427,0.0609252125231724,0.04352393217058,stat,Prophet_plain,0.033420487677427,0.033420487677427,0.0609252125231724,0.04352393217058
Canada_Kagglazon_Using LLMs to Win Friends and Influence People,Prophet_plain,0.0289694114287132,0.0514838073937434,0.0445933929421828,stat,Prophet_plain,0.0289694114287132,0.0289694114287132,0.0514838073937434,0.0445933929421828
Canada_Kagglazon_Using LLMs to Win More Kaggle Competitions,Prophet_tuned,0.0281719295658118,0.0580654954266294,0.0276165074402327,dl,dl,0.0276165074402327,0.0281719295658118,0.0580654954266294,0.0276165074402327
Canada_Kagglazon_Using LLMs to Write Better,Prophet_tuned,0.0268041180997404,0.0602046168242956,0.0345446399540272,stat,Prophet_tuned,0.0268041180997404,0.0268041180997404,0.0602046168242956,0.0345446399540272
Canada_Kaggle Learn_Using LLMs to Improve Your Coding,Prophet_tuned,0.029661540373991,0.0438237180279657,0.026838089266055,dl,dl,0.026838089266055,0.029661540373991,0.0438237180279657,0.026838089266055
Canada_Kaggle Learn_Using LLMs to Train More LLMs,Prophet_tuned,0.0284874952263087,0.0744312848495862,0.0493839617445393,stat,Prophet_tuned,0.0284874952263087,0.0284874952263087,0.0744312848495862,0.0493839617445393
Canada_Kaggle Learn_Using LLMs to Win Friends and Influence People,Prophet_tuned,0.0287947544272928,0.0554052309714667,0.0389990806006277,stat,Prophet_tuned,0.0287947544272928,0.0287947544272928,0.0554052309714667,0.0389990806006277
Canada_Kaggle Learn_Using LLMs to Win More Kaggle Competitions,Prophet_tuned,0.0270839390025817,0.039823975754606,0.0280379473384331,stat,Prophet_tuned,0.0270839390025817,0.0270839390025817,0.039823975754606,0.0280379473384331
Canada_Kaggle Learn_Using LLMs to Write Better,Prophet_tuned,0.0261435323162491,0.0300148367525793,0.0273322977662829,stat,Prophet_tuned,0.0261435323162491,0.0261435323162491,0.0300148367525793,0.0273322977662829
Canada_Kaggle Store_Using LLMs to Improve Your Coding,Prophet_plain,0.0273502866983813,0.0492782758993502,0.0258329437918079,dl,dl,0.0258329437918079,0.0273502866983813,0.0492782758993502,0.0258329437918079
Canada_Kaggle Store_Using LLMs to Train More LLMs,Prophet_tuned,0.0280679851657781,0.0749234239859484,0.0488969823710615,stat,Prophet_tuned,0.0280679851657781,0.0280679851657781,0.0749234239859484,0.0488969823710615
Canada_Kaggle Store_Using LLMs to Win Friends and Influence People,Prophet_plain,0.0273287144305679,0.0401836256290567,0.0535402938930322,stat,Prophet_plain,0.0273287144305679,0.0273287144305679,0.0401836256290567,0.0535402938930322
Canada_Kaggle Store_Using LLMs to Win More Kaggle Competitions,Prophet_tuned,0.0265582177075161,0.0462761740994095,0.0262493419770671,dl,dl,0.0262493419770671,0.0265582177075161,0.0462761740994095,0.0262493419770671
Canada_Kaggle Store_Using LLMs to Write Better,Prophet_tuned,0.0269922673517604,0.0356600531903767,0.0271306794689617,stat,Prophet_tuned,0.0269922673517604,0.0269922673517604,0.0356600531903767,0.0271306794689617
Estonia_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned,0.0460255339403272,0.0493544277672539,0.0390005630766474,dl,dl,0.0390005630766474,0.0460255339403272,0.0493544277672539,0.0390005630766474
Estonia_Kagglazon_Using LLMs to Train More LLMs,Prophet_tuned,0.0366689631479339,0.06015047516942,0.0529986765615411,stat,Prophet_tuned,0.0366689631479339,0.0366689631479339,0.06015047516942,0.0529986765615411
Estonia_Kagglazon_Using LLMs to Win Friends and Influence People,Prophet_tuned,0.0364643472094651,0.0615741599387664,0.0604408711158519,stat,Prophet_tuned,0.0364643472094651,0.0364643472094651,0.0615741599387664,0.0604408711158519
